nif,empresa,licitaciones_ganadas,importe_total,ultima_adjudicacion
A35004670,"Viajes Insular, S.A.",25,421435840,2026-06-01 00:00:00+00
A60631835,"Waters cromatografia, S.A",25,261223422,2026-06-01 00:00:00+00
B19308576,"TDS GESTIÓN DEPORTIVA, SL",25,229214227,2026-05-29 00:00:00+00
B98761133,"YOMEE ENERGY SERVICES, S.L.",25,517122197,2026-05-28 00:00:00+00
B15261308,"Ctnes. J. Mauri e hijos, s.l.",25,260297674,2026-05-27 00:00:00+00
A28065480,"CTI Tecnología y Gestión, S.A.",25,2957657359,2026-05-25 00:00:00+00
A30080469,"Audiest Auditores, S:A.P.",25,102223698,2026-05-21 00:00:00+00
B15072713,"Construcciones López Cao, S.L.",25,400110653,2026-05-21 00:00:00+00
B74365172,"ARPOSA 60, S.L.",25,970071179,2026-05-13 00:00:00+00
B74342817,Runitek Ingenieros S.L.,25,36132848,2026-05-13 00:00:00+00
B98795511,"PSM CONNECT SYSTEMS,SL",25,96667432,2026-05-13 00:00:00+00
A79089983,"Sas Institute, Sau",25,626603216,2026-05-12 00:00:00+00
B22183370,"ARQUISOCIAL, S.L.",25,7098494705,2026-05-08 00:00:00+00
B23632847,CENTRAL LOGÍSTICA CAMPOS LEYVA S.L,25,230713824,2026-05-04 00:00:00+00
B96081526,"Duetto Management, S.L.U.",25,235624318,2026-04-24 00:00:00+00
B86117561,"Arthrex España, S.L.",25,696047020,2026-04-22 00:00:00+00
B29778651,"BRÓCOLI, SL",25,767650215,2026-04-16 00:00:00+00
A07042435,"CONSTRUCCIONES, EXCAVACIONES Y ASFALTOS, S.A.",25,746878426,2026-04-09 00:00:00+00
B45619103,"ENTORNO OBRAS Y SERVICIOS, SL",25,317248587,2026-03-04 00:00:00+00
A62275680,"Retevision I, SAU",25,6031031868,2026-02-17 00:00:00+00
B42788281,COVESA 2020PROYECTOS Y SERVICIOS SL,25,283214199,2026-02-16 00:00:00+00
B83667725,"SERTEGO SERVICIOS MEDIOAMBIENTALES, SLU",25,153398038,2026-02-13 00:00:00+00
A28013548,"IMPORTACIONES INDUSTRIALES, S.A.",25,69655950,2025-12-29 00:00:00+00
A80568645,"Telefónica Servicios Audiovisuales, S.A.U",25,2056089606,2025-12-29 00:00:00+00
A28006922,"FINANZAUTO, SAU",25,492887494,2025-02-26 00:00:00+00
B39024732,"Semicrol, S.L.",25,239291094,2025-02-20 00:00:00+00
B91749655,"INTEGRA MGSI CEE ANDALUCÍA, S.L.",25,306715130,2025-02-20 00:00:00+00
B09207556,"COMERCIAL MD, S.L.",25,58651079,2025-02-19 00:00:00+00
A29872520,PLASTICOS IMASAU,25,1707402639,2025-02-14 00:00:00+00
B38719092,"Archipiélago Renting, S.L",25,416712096,2025-02-14 00:00:00+00
A59345702,"VOPI 4, S.A.",25,286153363,2025-02-12 00:00:00+00
A28057230,S.A. de distribución edición y librerias,25,52141137,2025-02-11 00:00:00+00
A84857903,"ACTREN, MANTENIMIENTO FERROVIARIO,S.A.",25,15254687205,2025-02-07 00:00:00+00
A37500725,ACEINSA SALAMANCA SA,25,551876131,2025-02-07 00:00:00+00
A20202487,"SABICO SEGURIDAD, SA",25,861388498,2025-01-30 00:00:00+00
B35782580,"HORMIGONES INSULARES, S.L.(HORINSA, S.L.)",25,1509836945,2025-01-24 00:00:00+00
A35009620,"Martínez Cano Canarias, SA",25,506447535,2025-01-17 00:00:00+00
B83782284,Viajabien S.L.,25,185492912,2025-01-17 00:00:00+00
B53564100,"Expamar Obras Públicas, S.L.",25,83777750,2025-01-17 00:00:00+00
B14945729,ALUMINIOS Y FERRALLAS GARDEL SL,25,23475178,2024-12-27 00:00:00+00
A28318012,"EUROCONTROL, SA",25,248979018,2024-12-18 00:00:00+00
A47329180,"RENAULT ESPAÑA COMERCIAL, SL",25,1771387774,2024-11-14 00:00:00+00
A50523554,Clínica Montpellier Grupo HLA,25,154189848,2024-08-08 00:00:00+00
A41189853,"ESTUDIOS Y EJECUCIONES, S.A.",24,1074109606,2026-06-01 00:00:00+00
B47685490,seeketing sl,24,110887118,2026-05-28 00:00:00+00
B19198274,GUADA-ALFRUT.S.L.,24,231386794,2026-05-27 00:00:00+00
B94072402,"MARISCOS LAXE DE RONS, SL",24,118957500,2026-05-27 00:00:00+00
B78487899,Dolaf Servicios Verdes S.L.,24,262722774,2026-05-27 00:00:00+00
B88557061,ICA Sistemas y Seguridad,24,492375449,2026-05-26 00:00:00+00
B09904285,Audiovisuales Avellán S.L.,24,62571651,2026-05-25 00:00:00+00
B24257297,Comercial Silva León S.L.,24,66061958,2026-05-25 00:00:00+00
A08435356,"Salicru, S.A.",24,114118262,2026-05-22 00:00:00+00
B98011505,"Nacatur 2 España, S.L.",24,332477800,2026-05-22 00:00:00+00
B45649696,"Sailo Business, S.L.",24,113540631,2026-05-18 00:00:00+00
B13410592,"SOLUCIONES DIGTALES CIUDAD REAL, S.L.",24,11750810,2026-05-15 00:00:00+00
A45007515,"CONSTRUCCIONES ANTOLÍN GARCÍA LOZOYA, S.A.",24,885111646,2026-05-14 00:00:00+00
B80077027,VULCANO SL,24,80982850,2026-05-05 00:00:00+00
A81886731,"Elekta Medical, S.A.U.",24,2731168220,2026-05-04 00:00:00+00
B96618129,"IDM Sistemas de Comunicación, S.L.",24,59820540,2026-04-30 00:00:00+00
B72226020,"MADERAS IMPREGNADAS PARA EL EXTERIOR, S.L.",24,329602960,2026-04-29 00:00:00+00
B11668878,FERRETERIA XEREZ. S.L.,24,276776284,2026-04-28 00:00:00+00
A08472276,"Würth España, S.A.",24,145735089,2026-04-23 00:00:00+00
A08006470,"BOEHRINGER INGELHEIM ESPAÑA,S.A",24,332067098,2026-04-22 00:00:00+00
B65341075,"OCA INSTITUTO DE CERTIFICACIÓN, SLU",24,48696867,2025-10-30 00:00:00+00
B18844936,"FERRALLAS MORALEDA VILLALBA, S.L",24,60511145,2025-06-30 00:00:00+00
A28143014,Saint Gobain Pam España S.A.,24,261019780,2025-02-22 00:00:00+00
B33018243,MAHER GONZALEZ IGLESIAS S.L.,24,5518679,2025-02-21 00:00:00+00
B40221921,"GESTIONA DESARROLLO DE SERVICIOS INTEGRALES, S.L.U.",24,647448842,2025-02-21 00:00:00+00
B16254237,OBRAS PÚBLICAS E INGENIERIA CIVIL MJ SL.,24,237494722,2025-02-19 00:00:00+00
A62634068,"FIRMAPROFESIONAL, S.A.",24,70950989,2025-02-18 00:00:00+00
B01832302,"ARTICLIMA ENERGIA, S.L.",24,107743649,2025-02-18 00:00:00+00
A83334953,GRP ILUMINACION SA,24,96871326,2025-02-17 00:00:00+00
B57465213,"MATIAS ARROM BIBILONI,S.L.",24,1955138757,2025-02-14 00:00:00+00
A07030778,"HERMANOS PARROT, S.A.",24,2444593518,2025-02-13 00:00:00+00
B99288763,HERALDO DE ARAGÓN EDITORA S.L.U.,24,39306712,2025-02-13 00:00:00+00
A62802152,"Nertus Mantenimiento Ferroviario y Servicios, S.A.",24,1769279428,2025-02-07 00:00:00+00
A25200536,HIDROLLEIDA S.A. - HIDROLOGY,24,143322507,2025-02-06 00:00:00+00
A28041283,"Laboratorios Farmacéuticos ROVI, S.A.",24,88887405,2025-02-06 00:00:00+00
B47336698,"Discomtes Energia, S.L.",24,66685521,2025-02-03 00:00:00+00
A12013561,CANALIZACIONES CIVILES SA,24,1218817488,2025-01-31 00:00:00+00
B88522958,"Prosol Ingenieria, S.L.",24,319165993,2025-01-29 00:00:00+00
B62552732,"HILL-ROM IBERIA, S.L.U.",24,433509209,2025-01-23 00:00:00+00
B97828446,"MUÑOZ BOSCH,S.L.U.",24,169637645,2025-01-23 00:00:00+00
A33123498,"LACERA SERVICIOS Y MANTENIMIENTO, SA",24,2909320424,2025-01-21 00:00:00+00
B81238867,"Erasmil mantenimientos, S.L.,",24,124512500,2024-12-26 00:00:00+00
B93723179,"PROYECTOS Y EQUIPAMIENTOS EN MADERA, S.L.",23,171767799,2026-06-01 00:00:00+00
A33062407,"ENVIRA SOSTENIBLE, SA",23,370182446,2026-06-01 00:00:00+00
B02406452,"Fundi-Trof, S.L..",23,19319418,2026-06-01 00:00:00+00
B73492423,"REGENERA LEVANTE, SL",23,641064822,2026-05-29 00:00:00+00
B04349270,"Cooperación 2005, S.L.",23,865678788,2026-05-29 00:00:00+00
B67875161,DOBLEA SERVICIOS ARTÍSTICOS SLU,23,188893777,2026-05-29 00:00:00+00
B92982123,MABEGA 1973 S.L.,23,18998692,2026-05-28 00:00:00+00
B54712153,Ortoactiva Suministros Sanitarios,23,48211308,2026-05-28 00:00:00+00
A84465749,"TRAUXIA, S.A.",23,537453377,2026-05-28 00:00:00+00
B25335332,"ALQUIENVAS, S.L.",23,173539616,2026-05-28 00:00:00+00
B86694056,"Nocturna Team, SL",23,55435000,2026-05-28 00:00:00+00
B84485218,ART BOX COMUNICACION S.L.,23,1325575,2026-05-27 00:00:00+00
B66084591,"ICDQ, INSTITUTO DE CERTIFICACION SL",23,14489446,2026-05-26 00:00:00+00
A84029255,"Asfaltecno Obras y Servicios, S.A.",23,345740245,2026-05-26 00:00:00+00
A46160701,TECNOLOGÍA DE MONTAJES Y MANTEMIENTOS SA,23,925112580,2026-05-26 00:00:00+00
B21564208,"Forgeser Servicios del Sur, S.L.",23,390450165,2026-05-25 00:00:00+00
B21405139,MEZCLAS Y BITUMINOSOS SL,23,186182097,2026-05-25 00:00:00+00
B78903499,"CUBIERTAS Y PINTURAS HERGAR,S.L.",23,516281559,2026-05-20 00:00:00+00
A08677841,VIDRA FOC S.A.,23,12528374,2026-05-20 00:00:00+00
B15009533,Francisco Gomez y Cia SL,23,981639474,2026-05-20 00:00:00+00
B64455835,"ASFALTOS AUGUSTA, SL",23,423863777,2026-05-20 00:00:00+00
B85329696,"GRAITEC SPAIN,S.L.",23,75064355,2026-05-20 00:00:00+00
A49012792,CONTRATAS Y OBRAS SAN GREGORIO S.A.,23,1719344007,2026-05-19 00:00:00+00
B92605518,MULTISER MALAGA SL,23,323105710,2026-05-19 00:00:00+00
B10027548,MUEBLES DE OFICINAS EXTREMEÑOS S.L.,23,279363556,2026-05-15 00:00:00+00
B72917016,Secure Sky Technology S.L.,23,33289751,2026-05-14 00:00:00+00
A30627947,"SACYR CONSERVACIÓN, S.A.",23,5180806050,2026-05-07 00:00:00+00
